epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.9347,1.31045,2.84858,1.28378,0.00597,0.68453,0.38784,0.23789,1.47158,4.11738,1.18842,0.000405702,0.000405702,0.000405702
2,25.8954,1.11681,1.52006,1.12431,0.97613,0.13225,0.49351,0.28867,1.42394,3.54314,1.18832,0.000822279,0.000822279,0.000822279
3,36.4657,1.08341,1.25582,1.11009,0.42864,0.4099,0.39936,0.17696,2.17639,3.32466,1.8424,0.0012385,0.0012385,0.0012385
4,48.15,1.07526,1.11516,1.10465,0.65626,0.64907,0.69453,0.40044,1.61678,1.92809,1.36856,0.00124878,0.00124878,0.00124878
5,58.9344,1.03169,0.95988,1.09697,0.71194,0.67682,0.77841,0.46392,1.37973,1.61687,1.19258,0.00124783,0.00124783,0.00124783
6,71.1722,1.00665,0.8653,1.06927,0.73875,0.72663,0.77715,0.5003,1.32023,1.38103,1.127,0.00124661,0.00124661,0.00124661
7,83.5692,0.98367,0.8087,1.06362,0.71162,0.58551,0.67011,0.40579,1.47897,1.90218,1.2755,0.00124512,0.00124512,0.00124512
8,93.8414,0.98429,0.76131,1.05811,0.71694,0.66478,0.7865,0.51218,1.30287,1.33971,1.11444,0.00124336,0.00124336,0.00124336
9,104.675,0.94796,0.724,1.04564,0.84,0.8033,0.836,0.50719,1.52068,0.96774,1.20889,0.00124134,0.00124134,0.00124134
10,115.851,0.92979,0.68552,1.03624,0.81935,0.7871,0.80645,0.51579,1.47997,1.00687,1.20771,0.00123904,0.00123904,0.00123904
11,129.256,0.91478,0.6651,1.03157,0.87379,0.88236,0.92558,0.60226,1.17279,0.87254,1.04911,0.00123648,0.00123648,0.00123648
12,139.323,0.91061,0.65505,1.03189,0.8488,0.82761,0.88429,0.57945,1.22401,0.92897,1.10973,0.00123365,0.00123365,0.00123365
13,150.663,0.89664,0.63992,1.01988,0.77279,0.72884,0.77324,0.52349,1.1302,0.99778,1.04405,0.00123056,0.00123056,0.00123056
14,162.298,0.87808,0.62195,1.00923,0.78017,0.63473,0.7285,0.47207,1.44538,1.58964,1.17991,0.00122721,0.00122721,0.00122721
15,172.522,0.88384,0.60779,1.0098,0.81129,0.84657,0.9019,0.60634,1.16234,0.7888,1.05743,0.00122359,0.00122359,0.00122359
16,182.921,0.85484,0.59694,1.0067,0.81599,0.78143,0.83815,0.52223,1.35509,1.01124,1.12764,0.00121972,0.00121972,0.00121972
17,194.994,0.85156,0.58591,0.99949,0.82576,0.7774,0.85078,0.56504,1.28645,1.026,1.1038,0.00121558,0.00121558,0.00121558
18,206.768,0.86013,0.57429,1.00718,0.86113,0.74835,0.88253,0.59752,1.15789,0.91329,1.04774,0.00121119,0.00121119,0.00121119
19,217.401,0.84002,0.56521,0.99469,0.88747,0.87054,0.91689,0.63533,1.10465,0.71907,1.01459,0.00120655,0.00120655,0.00120655
20,229.289,0.84647,0.55796,0.99707,0.87426,0.82574,0.91305,0.61989,1.10464,0.82261,1.02846,0.00120165,0.00120165,0.00120165
21,242.121,0.82451,0.55148,0.98937,0.91128,0.8244,0.92151,0.64285,1.11233,0.76898,1.02818,0.00119651,0.00119651,0.00119651
22,251.317,0.82435,0.5396,0.99107,0.85362,0.81438,0.87143,0.58852,1.15367,0.91143,1.05998,0.00119111,0.00119111,0.00119111
23,261.649,0.81646,0.53651,0.98761,0.88142,0.79613,0.8287,0.53575,1.43961,0.93895,1.13388,0.00118547,0.00118547,0.00118547
24,272.895,0.82863,0.5382,0.99099,0.88915,0.84571,0.89882,0.63706,1.09834,0.82822,1.0205,0.00117959,0.00117959,0.00117959
25,285.277,0.80737,0.52863,0.98501,0.91982,0.8319,0.9254,0.63925,1.08004,0.72264,1.0142,0.00117346,0.00117346,0.00117346
26,295.877,0.82353,0.53452,0.98843,0.89257,0.89629,0.91901,0.61189,1.16384,0.707,1.03153,0.0011671,0.0011671,0.0011671
27,306.056,0.79189,0.50834,0.97528,0.85677,0.84243,0.86682,0.58962,1.21746,0.74969,1.06509,0.00116051,0.00116051,0.00116051
28,318.993,0.80242,0.52058,0.97638,0.88515,0.86631,0.9273,0.6388,1.12229,0.76569,1.04858,0.00115368,0.00115368,0.00115368
29,328.262,0.78944,0.51343,0.9686,0.89654,0.83407,0.89524,0.63144,1.0458,0.82032,1.01221,0.00114662,0.00114662,0.00114662
30,341.296,0.78049,0.5038,0.97146,0.86669,0.86366,0.92625,0.63887,1.09263,0.75773,1.00989,0.00113934,0.00113934,0.00113934
31,352.035,0.79151,0.51428,0.97538,0.88931,0.84429,0.89459,0.61363,1.11799,0.74049,1.02312,0.00113183,0.00113183,0.00113183
32,363.123,0.77866,0.49652,0.96878,0.92966,0.83848,0.90992,0.62164,1.17565,0.72853,1.0486,0.0011241,0.0011241,0.0011241
33,374.175,0.77056,0.49412,0.96528,0.91639,0.90081,0.94578,0.65895,1.08108,0.62902,1.01222,0.00111616,0.00111616,0.00111616
34,385.019,0.76404,0.48521,0.96693,0.86231,0.87594,0.91589,0.59676,1.23468,0.7607,1.08737,0.00110801,0.00110801,0.00110801
35,396.849,0.77115,0.48557,0.96897,0.87892,0.8968,0.91983,0.65252,1.04458,0.63355,1.01074,0.00109964,0.00109964,0.00109964
36,406.817,0.761,0.47367,0.96246,0.87588,0.89685,0.91943,0.62939,1.09495,0.63669,1.02204,0.00109107,0.00109107,0.00109107
37,418.034,0.77069,0.48778,0.96719,0.92612,0.88008,0.93976,0.67038,1.05837,0.64928,1.00096,0.0010823,0.0010823,0.0010823
38,430.299,0.75934,0.47632,0.96295,0.91278,0.88379,0.92722,0.60574,1.22365,0.6795,1.03621,0.00107333,0.00107333,0.00107333
39,441.055,0.74863,0.47402,0.95921,0.9316,0.91113,0.96568,0.69903,1.02079,0.57625,0.97726,0.00106417,0.00106417,0.00106417
40,453.403,0.73461,0.46649,0.95436,0.92001,0.88957,0.94607,0.68375,1.0351,0.61521,0.98592,0.00105481,0.00105481,0.00105481
41,462.865,0.74189,0.45495,0.95191,0.92474,0.8382,0.91207,0.64987,1.06159,0.70909,1.02153,0.00104527,0.00104527,0.00104527
42,474.4,0.74294,0.4654,0.95369,0.87568,0.79293,0.85056,0.61195,1.06386,0.80441,1.01547,0.00103555,0.00103555,0.00103555
43,484.497,0.73053,0.45973,0.95067,0.89744,0.85032,0.91867,0.64228,1.08443,0.67957,1.02265,0.00102566,0.00102566,0.00102566
44,497.278,0.73201,0.45977,0.95489,0.89296,0.87974,0.91589,0.60819,1.25464,0.67274,1.06463,0.00101559,0.00101559,0.00101559
45,509.459,0.71707,0.44471,0.94975,0.90023,0.90882,0.94907,0.67704,1.04221,0.5991,0.98804,0.00100535,0.00100535,0.00100535
46,518.611,0.73967,0.45081,0.95175,0.92282,0.85113,0.92847,0.66683,1.02664,0.6094,1.00046,0.000994942,0.000994942,0.000994942
47,529.6,0.71859,0.4492,0.95146,0.91356,0.91682,0.94623,0.67183,1.07747,0.60328,1.02268,0.000984379,0.000984379,0.000984379
48,542.814,0.719,0.44832,0.94651,0.89659,0.83756,0.89466,0.62218,1.15417,0.72206,1.04202,0.000973661,0.000973661,0.000973661
49,552.532,0.72511,0.44561,0.95045,0.91172,0.87693,0.94143,0.66741,1.07772,0.5944,0.99473,0.000962793,0.000962793,0.000962793
50,563.629,0.71293,0.43945,0.94063,0.9037,0.90858,0.94104,0.67456,1.0335,0.58282,1.00159,0.000951779,0.000951779,0.000951779
51,573.699,0.71574,0.43802,0.94535,0.91937,0.87133,0.93794,0.68573,1.00388,0.61916,0.98566,0.000940625,0.000940625,0.000940625
52,587.247,0.71569,0.43788,0.94365,0.88695,0.91339,0.93835,0.67733,1.01178,0.61093,0.97866,0.000929335,0.000929335,0.000929335
53,596.712,0.70314,0.4289,0.94038,0.92332,0.87639,0.92664,0.68171,1.02099,0.61134,0.98842,0.000917914,0.000917914,0.000917914
54,607.02,0.70439,0.4304,0.94455,0.88319,0.86713,0.92414,0.66812,1.00615,0.69717,0.97714,0.000906368,0.000906368,0.000906368
55,620.877,0.6908,0.42042,0.93479,0.94112,0.8847,0.93698,0.68816,1.0102,0.60789,0.98583,0.000894701,0.000894701,0.000894701
56,630.32,0.69843,0.43684,0.93941,0.88728,0.87046,0.91552,0.66471,1.04711,0.59428,1.00925,0.000882918,0.000882918,0.000882918
