epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,79.4018,0.99089,1.34525,1.08203,0.40356,0.36135,0.3302,0.1758,1.78677,2.42429,1.58218,0.000332373,0.000332373,0.0670951
2,129.346,0.92052,0.87567,1.03637,0.75951,0.77582,0.85402,0.57032,1.11791,1.08535,1.06468,0.000659116,0.000659116,0.0340885
3,178.694,0.90689,0.79685,1.0344,0.78035,0.76558,0.80452,0.53163,1.21444,0.98988,1.07047,0.000979258,0.000979258,0.00107532
4,227.032,0.87667,0.75752,1.02429,0.74772,0.82548,0.8366,0.56175,1.10855,0.87679,1.03074,0.0009703,0.0009703,0.0009703
5,276.184,0.83313,0.69178,1.00385,0.74383,0.80102,0.88535,0.58162,1.09375,1.03842,1.00095,0.0009604,0.0009604,0.0009604
6,325.017,0.83011,0.66524,0.99662,0.83895,0.838,0.89619,0.61139,1.02973,0.76298,0.99057,0.0009505,0.0009505,0.0009505
7,374.177,0.79358,0.62635,0.99325,0.88393,0.87929,0.92028,0.60382,1.03904,0.74392,0.9958,0.0009406,0.0009406,0.0009406
8,422.734,0.77395,0.60902,0.97974,0.84906,0.84635,0.89231,0.63293,0.99692,0.74326,0.97689,0.0009307,0.0009307,0.0009307
9,471.996,0.75885,0.59382,0.97425,0.89668,0.88398,0.93595,0.64737,0.97459,0.71217,0.96211,0.0009208,0.0009208,0.0009208
10,520.128,0.75254,0.58052,0.9734,0.90484,0.78286,0.87317,0.59534,1.02869,0.86266,0.99298,0.0009109,0.0009109,0.0009109
11,568.524,0.73576,0.55826,0.96223,0.89556,0.73524,0.86342,0.6031,1.03388,0.92028,1.00425,0.000901,0.000901,0.000901
12,617.349,0.72615,0.54693,0.95754,0.79782,0.87339,0.87352,0.60651,0.97792,0.71515,0.97328,0.0008911,0.0008911,0.0008911
13,665.429,0.73552,0.55341,0.96311,0.89567,0.87608,0.91683,0.63667,0.9904,0.63018,0.98248,0.0008812,0.0008812,0.0008812
14,714.018,0.72149,0.54184,0.95614,0.92255,0.91476,0.95057,0.67908,0.94952,0.57207,0.9515,0.0008713,0.0008713,0.0008713
15,763.187,0.70761,0.51945,0.95344,0.92144,0.9324,0.94611,0.66975,0.9432,0.55627,0.94704,0.0008614,0.0008614,0.0008614
16,812.779,0.70032,0.51137,0.95303,0.93044,0.87093,0.94697,0.67748,0.94091,0.5755,0.94966,0.0008515,0.0008515,0.0008515
17,861.678,0.69706,0.50148,0.94624,0.91099,0.90163,0.94498,0.67679,0.93125,0.5675,0.9509,0.0008416,0.0008416,0.0008416
18,910.617,0.69157,0.50093,0.94613,0.89463,0.89582,0.93526,0.67105,0.93238,0.57369,0.95112,0.0008317,0.0008317,0.0008317
19,959.54,0.69357,0.50114,0.94867,0.86166,0.88209,0.93688,0.66468,0.93578,0.63959,0.95107,0.0008218,0.0008218,0.0008218
20,1008.58,0.68126,0.48909,0.94462,0.87997,0.92053,0.94118,0.68352,0.92705,0.55235,0.95431,0.0008119,0.0008119,0.0008119
21,1057.41,0.66982,0.46886,0.9367,0.91155,0.90617,0.92808,0.65294,0.95511,0.55491,0.95226,0.000802,0.000802,0.000802
22,1106.51,0.66881,0.47104,0.93579,0.91705,0.89496,0.94993,0.69199,0.92568,0.53719,0.94055,0.0007921,0.0007921,0.0007921
23,1155.74,0.66002,0.46385,0.93835,0.93296,0.91465,0.95875,0.69579,0.90293,0.5076,0.93606,0.0007822,0.0007822,0.0007822
24,1205.59,0.65063,0.46035,0.93296,0.89011,0.88461,0.9371,0.67902,0.89337,0.56697,0.93664,0.0007723,0.0007723,0.0007723
25,1255.31,0.66103,0.45822,0.93497,0.95093,0.92727,0.96473,0.68429,0.89604,0.50249,0.93362,0.0007624,0.0007624,0.0007624
26,1304.7,0.64717,0.45172,0.9327,0.92235,0.9327,0.95307,0.69489,0.89136,0.51017,0.93711,0.0007525,0.0007525,0.0007525
27,1353.99,0.64317,0.44236,0.92835,0.92333,0.94654,0.96047,0.70578,0.87957,0.49384,0.93437,0.0007426,0.0007426,0.0007426
28,1403.24,0.65026,0.45035,0.93299,0.92015,0.90885,0.94279,0.67887,0.91399,0.52345,0.94226,0.0007327,0.0007327,0.0007327
29,1451.62,0.63899,0.44801,0.93051,0.94698,0.934,0.96856,0.70056,0.8892,0.49788,0.92547,0.0007228,0.0007228,0.0007228
30,1499.72,0.63219,0.43662,0.92463,0.94509,0.9172,0.9615,0.70306,0.90066,0.49819,0.9203,0.0007129,0.0007129,0.0007129
31,1548.14,0.63484,0.43207,0.92505,0.94047,0.93169,0.96226,0.71143,0.86109,0.47951,0.92189,0.000703,0.000703,0.000703
32,1598.07,0.62775,0.43126,0.92459,0.93707,0.93916,0.96161,0.69915,0.89039,0.47004,0.92491,0.0006931,0.0006931,0.0006931
33,1647.21,0.626,0.42503,0.92416,0.92545,0.923,0.9534,0.70749,0.85476,0.50266,0.92572,0.0006832,0.0006832,0.0006832
34,1697.07,0.62404,0.42546,0.91926,0.94566,0.92466,0.9612,0.71777,0.86795,0.47634,0.92529,0.0006733,0.0006733,0.0006733
35,1745.06,0.62353,0.42511,0.91978,0.94127,0.94054,0.96332,0.6976,0.9123,0.47196,0.93098,0.0006634,0.0006634,0.0006634
36,1793.23,0.60886,0.41561,0.91833,0.91562,0.9342,0.95632,0.70575,0.88075,0.48088,0.91674,0.0006535,0.0006535,0.0006535
37,1841.72,0.6196,0.41225,0.91788,0.94775,0.93355,0.96124,0.7068,0.89042,0.46667,0.92868,0.0006436,0.0006436,0.0006436
38,1889.74,0.61359,0.41023,0.92076,0.95909,0.92924,0.96246,0.70508,0.88355,0.45769,0.92607,0.0006337,0.0006337,0.0006337
39,1937.71,0.60626,0.40388,0.91589,0.92282,0.93022,0.95681,0.68478,0.86787,0.49009,0.93236,0.0006238,0.0006238,0.0006238
40,1986.06,0.60733,0.40191,0.91451,0.95118,0.90989,0.95759,0.69154,0.90522,0.46196,0.93632,0.0006139,0.0006139,0.0006139
41,2035.03,0.6092,0.4034,0.91598,0.94077,0.93681,0.96281,0.7082,0.87109,0.45457,0.92476,0.000604,0.000604,0.000604
42,2083.52,0.59948,0.39951,0.91199,0.94249,0.92728,0.96307,0.70788,0.8763,0.45766,0.92015,0.0005941,0.0005941,0.0005941
43,2131.63,0.58953,0.39319,0.9088,0.93738,0.91391,0.96013,0.70191,0.85588,0.48478,0.92492,0.0005842,0.0005842,0.0005842
44,2180.51,0.59465,0.39228,0.91081,0.94762,0.94396,0.96683,0.70874,0.88464,0.4575,0.92191,0.0005743,0.0005743,0.0005743
45,2228.8,0.59013,0.38912,0.90979,0.91633,0.94456,0.96253,0.70845,0.85926,0.46872,0.92559,0.0005644,0.0005644,0.0005644
46,2277.91,0.58303,0.3843,0.90709,0.95324,0.94163,0.96612,0.71524,0.87108,0.43388,0.93121,0.0005545,0.0005545,0.0005545
47,2327.05,0.59094,0.38567,0.90966,0.95553,0.94527,0.96941,0.71212,0.86464,0.43936,0.91999,0.0005446,0.0005446,0.0005446
48,2375.6,0.58819,0.38651,0.91006,0.96214,0.93053,0.95809,0.70982,0.86363,0.45647,0.92792,0.0005347,0.0005347,0.0005347
49,2424.82,0.57746,0.38121,0.90651,0.93857,0.95822,0.96787,0.71005,0.86328,0.44761,0.92525,0.0005248,0.0005248,0.0005248
50,2474.17,0.57883,0.37628,0.90091,0.95029,0.91978,0.9566,0.70617,0.86209,0.45461,0.92949,0.0005149,0.0005149,0.0005149
51,2523.36,0.57744,0.3814,0.90563,0.94443,0.94678,0.96835,0.72233,0.85066,0.43961,0.92701,0.000505,0.000505,0.000505
52,2572.23,0.5761,0.37561,0.90363,0.93717,0.94741,0.96834,0.71515,0.86121,0.43044,0.92814,0.0004951,0.0004951,0.0004951
53,2621.01,0.56688,0.37077,0.89992,0.92737,0.95474,0.96944,0.72472,0.85563,0.43921,0.92362,0.0004852,0.0004852,0.0004852
54,2669.84,0.56646,0.37262,0.90454,0.93887,0.94325,0.96467,0.72164,0.84347,0.43246,0.9243,0.0004753,0.0004753,0.0004753
55,2719.48,0.56439,0.36842,0.9015,0.95082,0.94209,0.96878,0.72512,0.84539,0.43342,0.92699,0.0004654,0.0004654,0.0004654
56,2768.22,0.55814,0.36177,0.89963,0.93026,0.95356,0.9636,0.71516,0.85601,0.42967,0.92966,0.0004555,0.0004555,0.0004555
57,2817.01,0.56432,0.36292,0.8999,0.91538,0.93741,0.96067,0.71188,0.84443,0.44649,0.92342,0.0004456,0.0004456,0.0004456
58,2865.64,0.55889,0.36596,0.89833,0.94441,0.93368,0.96755,0.71995,0.84146,0.44402,0.91271,0.0004357,0.0004357,0.0004357
59,2914.6,0.5485,0.35512,0.90093,0.9412,0.95711,0.97157,0.72622,0.84957,0.42874,0.91676,0.0004258,0.0004258,0.0004258
60,2964.76,0.54784,0.35053,0.89654,0.94809,0.94696,0.96493,0.72636,0.83096,0.41952,0.90799,0.0004159,0.0004159,0.0004159
61,3015.73,0.54722,0.35197,0.89561,0.94126,0.93857,0.96429,0.71466,0.85527,0.43924,0.92263,0.000406,0.000406,0.000406
62,3065.97,0.54454,0.34864,0.89532,0.93193,0.952,0.95956,0.72099,0.84196,0.43785,0.9146,0.0003961,0.0003961,0.0003961
63,3115.53,0.54309,0.35466,0.89335,0.95002,0.94302,0.96201,0.71669,0.83714,0.43323,0.91329,0.0003862,0.0003862,0.0003862
